Name: Vo Pham Mai Uyen,ID:1831100044
Report Database -- PROJECTD

Speed,Direction
0.0,1,2023-06-30 10:57:07
0.0,1,2023-06-30 10:57:10
0.0,1,2023-06-30 10:57:13
0.0,1,2023-06-30 10:57:16
0.0,1,2023-06-30 10:57:19
0.0,1,2023-06-30 10:57:23
0.0,1,2023-06-30 10:57:26
0.0,1,2023-06-30 10:57:29
0.0,1,2023-06-30 10:57:32
0.0,1,2023-06-30 11:54:26
0.0,1,2023-06-30 11:54:30
0.0,1,2023-06-30 11:54:33
0.0,1,2023-06-30 11:54:36
0.0,1,2023-06-30 11:54:39
0.0,1,2023-06-30 11:54:42
0.0,1,2023-06-30 11:54:45
0.0,1,2023-06-30 11:54:48
0.0,1,2023-06-30 11:54:51
0.0,1,2023-06-30 11:54:55
0.0,1,2023-06-30 11:54:58
0.0,1,2023-06-30 11:55:01
0.0,1,2023-06-30 11:55:04
0.0,1,2023-06-30 11:55:07
0.0,1,2023-06-30 11:55:10
0.0,1,2023-06-30 11:55:13
0.0,1,2023-06-30 11:55:16
0.0,1,2023-06-30 11:55:19
0.0,1,2023-06-30 11:55:23
0.0,1,2023-06-30 11:55:26
0.0,1,2023-06-30 11:55:29
0.0,1,2023-06-30 11:55:32
0.0,1,2023-06-30 11:55:35
0.0,1,2023-06-30 11:55:38
0.0,1,2023-06-30 11:55:41
0.0,1,2023-06-30 11:55:44
0.0,1,2023-06-30 11:55:48
0.0,1,2023-06-30 11:55:51
0.0,1,2023-06-30 11:55:54
0.0,1,2023-06-30 11:55:57
0.0,1,2023-06-30 11:56:00
0.0,1,2023-06-30 11:56:03
0.0,1,2023-06-30 11:56:07
9.18,1,2023-06-30 11:56:10
13.99,1,2023-06-30 11:56:13
13.99,1,2023-06-30 11:56:16
0.0,1,2023-06-30 11:56:19
0.0,1,2023-06-30 11:56:22
15.3,1,2023-06-30 11:56:25
16.61,-1,2023-06-30 11:56:28
17.05,1,2023-06-30 11:56:31
0.0,1,2023-06-30 11:56:35
0.0,1,2023-06-30 11:56:38
0.0,1,2023-06-30 11:56:41
0.0,1,2023-06-30 11:56:44
0.0,1,2023-06-30 11:56:47
0.0,1,2023-06-30 11:56:50
0.0,1,2023-06-30 11:56:54
0.0,1,2023-06-30 11:56:57
0.0,1,2023-06-30 11:57:00
0.0,1,2023-06-30 11:57:03
0.0,1,2023-06-30 11:57:06
0.0,1,2023-06-30 11:57:09
0.0,1,2023-06-30 11:57:12
0.0,1,2023-06-30 11:57:15
0.0,1,2023-06-30 11:57:19
0.0,1,2023-06-30 11:57:22
0.0,1,2023-06-30 11:57:25
0.0,1,2023-06-30 11:57:29
0.0,1,2023-06-30 11:57:32
0.0,1,2023-06-30 11:57:35
0.0,1,2023-06-30 11:57:38
0.0,1,2023-06-30 11:57:41
0.0,1,2023-06-30 11:57:44
